name  symbol  atomic_number  mass  atomic_radius  covalent_radius
Hydrogen  H  1  1.008  25.0  32.0
Helium  He  2  4.002602  120.0  46.0
Lithium  Li  3  6.94  145.0  133.0
Beryllium  Be  4  9.0121831  105.0  102.0
Boron  B  5  10.81  85.0  85.0
Carbon  C  6  12.011  70.0  75.0
Nitrogen  N  7  14.007  65.0  71.0
Oxygen  O  8  15.999  60.0  63.0
Fluorine  F  9  18.998403163  50.0  64.0
Neon  Ne  10  20.1797  160.0  67.0
Sodium  Na  11  22.98976928  180.0  155.0
Magnesium  Mg  12  24.305  150.0  139.0
Aluminum  Al  13  26.9815385  125.0  126.0
Silicon  Si  14  28.085  110.0  115.99999999999999
Phosphorus  P  15  30.973761998  100.0  111.00000000000001
Sulfur  S  16  32.06  100.0  103.0
Chlorine  Cl  17  35.45  100.0  99.0
Argon  Ar  18  39.948  71.0  96.0
Potassium  K  19  39.0983  220.0  196.0
Calcium  Ca  20  40.078  180.0  171.0
Scandium  Sc  21  44.955908  160.0  148.0
Titanium  Ti  22  47.867  140.0  136.0
Vanadium  V  23  50.9415  135.0  134.0
Chromium  Cr  24  51.9961  140.0  122.0
Manganese  Mn  25  54.938044  140.0  119.0
Iron  Fe  26  55.845  140.0  115.99999999999999
Cobalt  Co  27  58.933194  135.0  111.00000000000001
Nickel  Ni  28  58.6934  135.0  110.00000000000001
Copper  Cu  29  63.546  135.0  112.00000000000001
Zinc  Zn  30  65.38  135.0  118.0
Gallium  Ga  31  69.723  130.0  124.0
Germanium  Ge  32  72.63  125.0  121.0
Arsenic  As  33  74.921595  115.0  121.0
Selenium  Se  34  78.971  115.0  115.99999999999999
Bromine  Br  35  79.904  115.0  113.99999999999999
Krypton  Kr  36  83.798  None  117.0
Rubidium  Rb  37  85.4678  235.0  210.0
Strontium  Sr  38  87.62  200.0  185.0
Yttrium  Y  39  88.90584  180.0  163.0
Zirconium  Zr  40  91.224  155.0  154.0
Niobium  Nb  41  92.90637  145.0  147.0
Molybdenum  Mo  42  95.95  145.0  138.0
Technetium  Tc  43  97.90721  135.0  128.0
Ruthenium  Ru  44  101.07  130.0  125.0
Rhodium  Rh  45  102.9055  135.0  125.0
Palladium  Pd  46  106.42  140.0  120.0
Silver  Ag  47  107.8682  160.0  128.0
Cadmium  Cd  48  112.414  155.0  136.0
Indium  In  49  114.818  155.0  142.0
Tin  Sn  50  118.71  145.0  140.0
Antimony  Sb  51  121.76  145.0  140.0
Tellurium  Te  52  127.6  140.0  136.0
Iodine  I  53  126.90447  140.0  133.0
Xenon  Xe  54  131.293  None  131.0
Cesium  Cs  55  132.90545196  260.0  231.99999999999997
Barium  Ba  56  137.327  215.0  196.0
Lanthanum  La  57  138.90547  195.0  180.0
Cerium  Ce  58  140.116  185.0  163.0
Praseodymium  Pr  59  140.90766  185.0  176.0
Neodymium  Nd  60  144.242  185.0  174.0
Promethium  Pm  61  144.91276  185.0  173.0
Samarium  Sm  62  150.36  185.0  172.0
Europium  Eu  63  151.964  185.0  168.0
Gadolinium  Gd  64  157.25  180.0  169.0
Terbium  Tb  65  158.92535  175.0  168.0
Dysprosium  Dy  66  162.5  175.0  167.0
Holmium  Ho  67  164.93033  175.0  166.0
Erbium  Er  68  167.259  175.0  165.0
Thulium  Tm  69  168.93422  175.0  164.0
Ytterbium  Yb  70  173.045  175.0  170.0
Lutetium  Lu  71  174.9668  175.0  162.0
Hafnium  Hf  72  178.49  155.0  152.0
Tantalum  Ta  73  180.94788  145.0  146.0
Tungsten  W  74  183.84  135.0  137.0
Rhenium  Re  75  186.207  135.0  131.0
Osmium  Os  76  190.23  130.0  129.0
Iridium  Ir  77  192.217  135.0  122.0
Platinum  Pt  78  195.084  135.0  123.0
Gold  Au  79  196.966569  135.0  124.0
Mercury  Hg  80  200.592  150.0  133.0
Thallium  Tl  81  204.38  190.0  144.0
Lead  Pb  82  207.2  180.0  144.0
Bismuth  Bi  83  208.9804  160.0  151.0
Polonium  Po  84  209.0  190.0  145.0
Astatine  At  85  210.0  None  147.0
Radon  Rn  86  222.0  None  142.0
Francium  Fr  87  223.0  None  223.0
Radium  Ra  88  226.0  215.0  200.99999999999997
Actinium  Ac  89  227.0  195.0  186.0
Thorium  Th  90  232.0377  180.0  175.0
Protactinium  Pa  91  231.03588  180.0  169.0
Uranium  U  92  238.02891  175.0  170.0
Neptunium  Np  93  237.0  175.0  171.0
Plutonium  Pu  94  244.0  175.0  172.0
Americium  Am  95  243.0  175.0  166.0
Curium  Cm  96  247.0  None  166.0
Berkelium  Bk  97  247.0  None  168.0
Californium  Cf  98  251.0  None  168.0
Einsteinium  Es  99  252.0  None  165.0
Fermium  Fm  100  257.0  None  167.0
Mendelevium  Md  101  258.0  None  173.0
Nobelium  No  102  259.0  None  176.0
Lawrencium  Lr  103  262.0  None  161.0
